id,SOP_description
1,This SOP is used for global metabolite detection in plasma samples
2,This SOP is used for global metabolite detection in brain samples
3,This SOP is used for global lipid metabolite detection in plasma samples
4,This SOP is used for global lipid metabolite detection in brain samples
5,This SOP is used for targeted  chemical standard analysis
6,This SOP is used for cell culture
7,This SOP is used for chemical seperation
8,This SOP is used for oil sample global analysis 
9,This SOP is used for bacteria cell analysis
10,This SOP is used for hybrid library analysis
11,This SOP is used for cleaning the hemolyzed plasma
